] c0      1 i2c-core: driver [pn544] using legacy suspend method
<4>[    1.234579] c0      1 i2c-core: driver [pn544] using legacy resume method
<6>[    1.234640] c0      1 [AUD] tfa9887: tfa9887_init
<4>[    1.235067] c0      1 i2c-core: driver [tfa9887] using legacy suspend method
<4>[    1.235098] c0      1 i2c-core: driver [tfa9887] using legacy resume method
<6>[    1.235128] c0      1 [AUD] rt5501: rt5501_init
<6>[    1.236502] c0      1 [AUD] rt5501: i2c_read rt5501_i2c_read: rx[0] = 0x0
<6>[    1.236532] c0      1 [AUD] rt5501: i2c_read rt5501_i2c_read: rx[1] = 0x0
<6>[    1.236563] c0      1 [AUD] rt5501: rt5501 is connected
<6>[    1.237509] c0      1 [HS_MGR] (headset_notifier_register) Register MIC_BIAS notifier
<4>[    1.237631] c0      1 i2c-core: driver [rt5501] using legacy suspend method
<4>[    1.237662] c0      1 i2c-core: driver [rt5501] using legacy resume method
<6>[    1.237692] c0      1 [AUD] tpa6185: tpa6185_init
<6>[    1.238913] c0      1 qup_i2c qup_i2c.0: QUP: I2C status flags :0x11100c8, irq:226
<3>[    1.241629] c0      1 [AUD] tpa6185: tpa6185_i2c_read: transfer error -5
<6>[    1.241660] c0      1 [AUD] tpa6185: tpa6185 is not connected
<3>[    1.241721] c0      1 [AUD] tpa6185: tpa6185_probe: gpio 161 off error -5
<4>[    1.241904] c0      1 i2c-core: driver [tpa6185] using legacy suspend method
<4>[    1.241934] c0      1 i2c-core: driver [tpa6185] using legacy resume method
<6>[    1.242057] c0      1 [PS][cm3629] cm3629_probe
<6>[    1.247916] c0      0 [KEY] gpio_keys_scan_keys: key 1-74, 0 (26) changed to 0
<6>[    1.247947] c0      0 [KEY] [PWR] start count for power key clear check
<6>[    1.248008] c0      0 [KEY] gpio_keys_scan_keys: key 1-72, 1 (77) changed to 0
<6>[    1.248039] c0      0 [KEY] gpio_keys_scan_keys: key 1-73, 2 (11) changed to 0
<6>[    1.248161] c0     53 [KEY] [PWR] cancel power key check reset work unsuccessfully
<6>[    1.253654] c1     79 [USBH] ulpi: write 0x5a to 0x81
<6>[    1.253654] c1     79 [USBH] ulpi: write 0x24 to 0x82
<6>[    1.273950] c0      1 [PS][cm3629] cm3629_read_chip_id, chip_id value = 0x83, 0x0, ret 0
<6>[    1.273981] c0      1 [PS][cm3629]cm3629_probe: lp_info->ls_cmd = 0x80!
<6>[    1.274011] c0      1 [PS][cm3629] cm3629_probe: ls_cmd 0x80, ps1_adc_offset=0x00, ps2_adc_offset=0x00, ps_debounce=0x0, ps1_thh_diff 0
<6>[    1.274378] c0      1 input: lightsensor-level as /devices/virtual/input/input5
<6>[    1.275019] c0      1 input: proximity as /devices/virtual/input/input6
<6>[    1.275385] c0      1 [LS][cm3629] lightsensor_set_kvalue: ALS calibrated als_kadc=0x6da522e6
<6>[    1.275415] c0      1 [LS][cm3629] lightsensor_set_kvalue: als_kadc=0x22e6, als_gadc=0x1900
<6>[    1.275446] c0      1 [LS][cm3629] wsensor_set_kvalue: WS calibrated ws_kadc=0x0
<6>[    1.275476] c0      1 [LS][cm3629] wsensor_set_kvalue: no WS calibrated
<6>[    1.275507] c0      1 [LS][cm3629] wsensor_set_kvalue: ws_kadc=0x1, ws_gadc=0x1
<6>[    1.275537] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[0], 1
<6>[    1.275568] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[1], 4
<6>[    1.275598] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[2], 2e
<6>[    1.275629] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[3], 510
<6>[    1.275629] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[4], 7da
<6>[    1.275660] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[5], 1e9c
<6>[    1.275690] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[6], 2ea3
<6>[    1.275721] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[7], 43b2
<6>[    1.275751] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[8], 58c3
<6>[    1.275782] c0      1 [LS][cm3629] lightsensor_update_table: Calibrated adc_table: data[9], ffff
<6>[    1.275965] c0      1 [PS][cm3629] psensor_set_kvalue: PS calibrated ps_kparam1 = 0x50530306, ps_kparam2 = 0xFFFF0A43
<6>[    1.275995] c0      1 [PS][cm3629] psensor_set_kvalue: PS calibrated inte_ps1_canc = 0x43, inte_ps2_canc = 0x0A, ((ps_kparam2 >> 16) & 0xFF) = 0xFF
<6>[    1.276453] c0      1 [LS][cm3629] ls_initial_cmd, cmd[0] = 0x81, cmd[1] = 0x0
<6>[    1.277369] c0      1 [PS][cm3629] psensor_initial_cmd, finish
<6>[    1.278254] c0      1 [PS][cm3629] cm3629_probe: Probe success!
<6>[    1.278376] c0      1 AKM8963 compass driver: initialize.
<4>[    1.278467] c0      1 i2c-core: driver [akm8963] using legacy suspend method
<4>[    1.278498] c0      1 i2c-core: driver [akm8963] using legacy resume method
